
Opening Error Output File (ERROR.TXT) on Tue Mar 18 08:38:10.630, 2025


columns = 32, rows = 32
col_vstep = 129.032257, row_vstep = 129.032257
col_tstep=8.225806, row_tstep=8.225806
num_vertices = 1024, num_polys = 1922
Vertex 0: V[-2000.000000, 2.745098, -2000.000000], T[0.000000, 0.000000]
Vertex 1: V[-1870.967773, 2.745098, -2000.000000], T[8.225806, 0.000000]
Vertex 2: V[-1741.935547, 2.745098, -2000.000000], T[16.451612, 0.000000]
Vertex 3: V[-1612.903198, 2.745098, -2000.000000], T[24.677418, 0.000000]
Vertex 4: V[-1483.870972, 5.490196, -2000.000000], T[32.903225, 0.000000]
Vertex 5: V[-1354.838745, 5.490196, -2000.000000], T[41.129032, 0.000000]
Vertex 6: V[-1225.806396, 5.490196, -2000.000000], T[49.354836, 0.000000]
Vertex 7: V[-1096.774170, 2.745098, -2000.000000], T[57.580643, 0.000000]
Vertex 8: V[-967.741943, 2.745098, -2000.000000], T[65.806450, 0.000000]
Vertex 9: V[-838.709717, 2.745098, -2000.000000], T[74.032257, 0.000000]
Vertex 10: V[-709.677429, 2.745098, -2000.000000], T[82.258064, 0.000000]
Vertex 11: V[-580.645142, 2.745098, -2000.000000], T[90.483871, 0.000000]
Vertex 12: V[-451.612915, 2.745098, -2000.000000], T[98.709671, 0.000000]
Vertex 13: V[-322.580658, 2.745098, -2000.000000], T[106.935478, 0.000000]
Vertex 14: V[-193.548401, 2.745098, -2000.000000], T[115.161285, 0.000000]
Vertex 15: V[-64.516144, 2.745098, -2000.000000], T[123.387093, 0.000000]
Vertex 16: V[64.516113, 2.745098, -2000.000000], T[131.612900, 0.000000]
Vertex 17: V[193.548370, 2.745098, -2000.000000], T[139.838699, 0.000000]
Vertex 18: V[322.580627, 2.745098, -2000.000000], T[148.064514, 0.000000]
Vertex 19: V[451.612885, 2.745098, -2000.000000], T[156.290314, 0.000000]
Vertex 20: V[580.645142, 2.745098, -2000.000000], T[164.516129, 0.000000]
Vertex 21: V[709.677368, 2.745098, -2000.000000], T[172.741928, 0.000000]
Vertex 22: V[838.709656, 2.745098, -2000.000000], T[180.967743, 0.000000]
Vertex 23: V[967.741943, 2.745098, -2000.000000], T[189.193542, 0.000000]
Vertex 24: V[1096.774170, 2.745098, -2000.000000], T[197.419342, 0.000000]
Vertex 25: V[1225.806396, 2.745098, -2000.000000], T[205.645157, 0.000000]
Vertex 26: V[1354.838623, 2.745098, -2000.000000], T[213.870956, 0.000000]
Vertex 27: V[1483.870972, 2.745098, -2000.000000], T[222.096771, 0.000000]
Vertex 28: V[1612.903198, 8.235294, -2000.000000], T[230.322571, 0.000000]
Vertex 29: V[1741.935425, 5.490196, -2000.000000], T[238.548386, 0.000000]
Vertex 30: V[1870.967773, 2.745098, -2000.000000], T[246.774185, 0.000000]
Vertex 31: V[2000.000000, 2.745098, -2000.000000], T[255.000000, 0.000000]
Vertex 32: V[-2000.000000, 2.745098, -1870.967773], T[0.000000, 8.225806]
Vertex 33: V[-1870.967773, 2.745098, -1870.967773], T[8.225806, 8.225806]
Vertex 34: V[-1741.935547, 19.215687, -1870.967773], T[16.451612, 8.225806]
Vertex 35: V[-1612.903198, 19.215687, -1870.967773], T[24.677418, 8.225806]
Vertex 36: V[-1483.870972, 63.137257, -1870.967773], T[32.903225, 8.225806]
Vertex 37: V[-1354.838745, 63.137257, -1870.967773], T[41.129032, 8.225806]
Vertex 38: V[-1225.806396, 65.882355, -1870.967773], T[49.354836, 8.225806]
